product_code,cost_year,manufacturing_cost
A5620110401,2022,196.3716
A5620110402,2019,154.8647
A5620110402,2020,183.0552
A5620110402,2021,184.9042
A5620110402,2022,194.1494
A5621110403,2019,158.5135
A5621110403,2020,183.3586
A5621110403,2021,185.2107
A5621110403,2022,200.0276
A5621110404,2019,136.5188
A5621110404,2020,166.6897
A5621110404,2021,185.2107
A5621110404,2022,203.7318
A5621110405,2019,156.3394
A5621110405,2020,177.1149
A5621110405,2021,186.4368
A5621110405,2022,188.3011
A5621110406,2020,174.1701
A5621110406,2021,187.2797
A5621110406,2022,189.1525
A5621110407,2020,186.3931
A5621110407,2021,188.2759
A5621110407,2022,205.2207
A5621110408,2020,173.3533
A5621110408,2021,190.4981
A5621110408,2022,203.8330
A5721110501,2020,180.6529
A5721110501,2021,192.1839
A5721110501,2022,201.7931
A5721110502,2021,192.8736
A5721110502,2022,208.3034
A5721110503,2021,194.3295
A5721110503,2022,209.8759
A5721110504,2021,195.3257
A5721110504,2022,212.9050
A5721110505,2021,202.7586
A5721110505,2022,212.8966
A5721110506,2021,207.2797
A5721110506,2022,215.5709
A5721110507,2022,215.4713
A5721110508,2022,231.6322
A5820110101,2021,212.4904
A5820110101,2022,220.9900
A5820110102,2021,212.7203
A5820110102,2022,219.1019
A5820110103,2021,213.2567
A5820110103,2022,230.3172
A5820110104,2021,213.3333
A5820110104,2022,217.6000
A5820110105,2021,214.7893
A5820110106,2021,215.8621
A5820110106,2022,218.0207
A5820110107,2021,218.2376
A5820110107,2022,235.6966
A5821110108,2021,219.1571
A5921110201,2022,233.0376
A5921110202,2022,240.5517
A5921110203,2022,236.5479
A5921110204,2022,227.8628
A5921110205,2022,247.8161
A5921110206,2022,230.5747
A5921110207,2022,244.0912
A5921110208,2022,246.7862
A6018110101,2018,197.8924
A6018110101,2019,186.0189
A6018110101,2020,219.8805
A6018110101,2021,229.0421
A6018110102,2018,200.2956
A6018110102,2019,196.2897
A6018110102,2020,215.3716
A6018110102,2021,229.1188
A6018110103,2019,211.5264
A6018110103,2020,224.8368
A6018110103,2021,229.4253
A6018110103,2022,247.7793
A6018110104,2019,198.3460
A6018110104,2020,219.7739
A6018110104,2021,231.3410
A6018110104,2022,245.2215
A6018110105,2019,179.3810
A6018110105,2020,214.3142
A6018110105,2021,232.9502
A6018110105,2022,239.9387
A6018110106,2020,210.1379
A6018110106,2021,233.4866
A6018110106,2022,238.1563
A6019110107,2020,210.2759
A6019110107,2021,233.6399
A6019110107,2022,245.3218
A6019110108,2021,234.1762
A6019110108,2022,245.8851
A6119110201,2021,237.3180
A6119110201,2022,251.5571
A6119110202,2021,238.2376
A6119110202,2022,250.1494
A6119110203,2021,238.6207
A6119110203,2022,248.1655
A6119110204,2021,238.7739
A6119110204,2022,255.4881
A6120110205,2021,240.3065
A6120110205,2022,259.5310
A6120110206,2021,240.5364
A6120110206,2022,252.5632
A6120110207,2022,253.6644
A6121110208,2022,263.4207
A6218160101,2018,3.8917
A6218160101,2019,3.5804
A6218160101,2020,4.0966
A6218160101,2021,4.1379
A6218160102,2018,4.1178
A6218160102,2019,3.9943
A6218160102,2020,4.4759
A6218160102,2021,4.5211
A6219160103,2019,4.1541
A6219160103,2020,4.8552
A6219160103,2021,4.9042
A6219160103,2022,5.0513
A6319160201,2019,4.4186
A6319160201,2020,5.0544
A6319160201,2021,5.2107
A6319160201,2022,5.5234
A6319160202,2019,4.8940
A6319160202,2020,5.1494
A6319160202,2021,5.3640
A6319160202,2022,5.6322
A6319160203,2019,5.0306
A6319160203,2020,5.5172
A6319160203,2021,5.7471
A6319160203,2022,6.0920
A6419160301,2020,5.3862
A6419160301,2021,5.4406
A6419160301,2022,5.7126
A6419160302,2020,5.4023
A6419160302,2021,5.7471
A6419160302,2022,6.2644
A6419160303,2020,5.4874
A6419160303,2021,5.9004
A6419160303,2022,6.0184
A6519160401,2020,5.5464
A6519160401,2021,5.9004
A6519160401,2022,6.1364
A6520160402,2021,6.0536
A6520160402,2022,6.4774
A6520160403,2021,6.2835
A6520160403,2022,6.5349
A6620160501,2021,6.5900
A6620160501,2022,6.9854
A6620160502,2022,7.3655
A6621160503,2022,7.6966
A6720160103,2020,1.3655
A6720160103,2021,1.3793
A6720160103,2022,1.4759
A6818160201,2020,0.9011
A6818160201,2021,0.9195
A6818160201,2022,0.9655
A6818160202,2021,1.1494
A6818160202,2022,1.1839
A6819160203,2021,1.5326
A6819160203,2022,1.6399
A7118160101,2018,7.7456
A7118160101,2019,7.0485
A7118160101,2020,8.1533
A7118160101,2021,8.5824
A7119160102,2019,7.2245
A7119160102,2020,8.7241
A7119160102,2021,8.8123
A7119160103,2019,7.4458
A7119160103,2020,8.3379
A7119160103,2021,8.9655
A7219160201,2019,7.7145
A7219160201,2020,8.5517
A7219160201,2021,9.5019
A7219160201,2022,10.3571
A7220160202,2020,10.1831
A7220160202,2021,10.4981
A7220160202,2022,11.4429
A7220160203,2020,11.3034
A7220160203,2021,11.4176
A7220160203,2022,11.9885
A7321160301,2021,12.4138
A7321160301,2022,13.4069
A7321160302,2021,12.5670
A7321160302,2022,13.1954
A7321160303,2021,12.9502
A7321160303,2022,13.3387
